"","叶面积","叶干重","侧枝萌发率","长宽比","group"
"1",5.52394981797912,0.728514324397237,-Inf,0.0797349680188535,"C"
"2",5.54631351765398,0.921079248605952,-Inf,0.250758718347183,"C"
"3",5.18900460660734,0.70408712059828,-Inf,0.324255052682621,"C"
"4",5.33239506937486,0.699129252237493,-6.21460809842219,0.298622012490115,"C"
"5",5.26275754414942,0.691145177889272,-6.21460809842219,0.378436435720245,"C"
"6",5.38380675256345,0.815364813284194,-6.21460809842219,0.40212620684265,"C"
"7",5.44957386226196,0.720762347592919,-5.11599580975408,0.304539189518204,"C"
"8",4.77039644735341,0.0468835858988505,-4.96184512992682,0.316269529303694,"C"
"9",5.49281449927213,0.841567185678219,-4.3428059215206,0.227932068046007,"C"
"10",5.1436498865359,0.39068982252601,-4.13516655674236,0.287432041196572,"C"
"11",5.29319929151787,0.548121408509688,-4.13516655674236,0.327143141332695,"C"
"12",4.89450589043653,0.0468835858988505,-4.13516655674236,0.337899788612398,"C"
"13",5.11251776837425,0.470003629245736,-4.01738352108597,0.308219723669329,"C"
"14",5.34558732817585,0.660623988854385,-4.01738352108597,0.333611004340181,"C"
"15",5.26733740493773,0.471252848646168,-3.72970144863419,0.232697764119021,"C"
"16",5.53683414197685,0.80825998766045,-3.68887945411394,0.239803992207317,"C"
"17",5.01648481888515,0.375692949774494,-3.29683736633791,0.339325305603619,"C"
"18",5.92025046054832,1.19513385565873,-3.27016911925575,0.23031775506221,"C"
"19",5.44228350238209,0.801104322065038,-3.01593498087151,0.20375683751402,"D"
"20",5.23357615820413,0.400117501781569,-2.91877123241786,0.218331994316988,"D"
"21",5.41158354990183,0.900161349944271,-2.79688141480883,0.273836665629728,"D"
"22",5.65716943882205,0.970021054295123,-2.78062089393705,0.21591750622247,"D"
"23",5.03756280581205,0.187309098304994,-2.65926003693278,0.311154428636923,"D"
"24",5.71868093931817,0.982827255674399,-2.53830742651512,0.23031775506221,"D"
"25",5.68938938936856,0.89527136465008,-2.3538783873816,0.0478373294141601,"D"
"26",5.75093320044253,0.981329128053377,-2.33304430047875,0.20294084399669,"D"
"27",5.8596402679643,0.970021054295123,-2.24431618487007,0.211070970079941,"D"
"28",5.93085164397288,1.17433799919625,-2.22562405185792,0.162118849476435,"D"
"29",5.5729255975625,0.812706415617585,-2.16282315061889,0.219938420365261,"D"
"30",5.43485236881745,0.479953960098904,-2.10373423424888,0.286681572118197,"D"
"31",5.21020720429674,0.462475362824944,-2.07147337203066,0.265436463504461,"D"
"32",5.56222659079647,0.657520002916794,-1.95899538860397,0.249980205267769,"D"
"33",5.43503555095335,0.646055573026095,-1.89047544216721,0.222343231143441,"D"
"34",5.62989909266484,0.921079248605952,-1.77195684193188,0.300104592450338,"D"
"35",5.56126991947839,0.732367893713227,-1.76026080216868,0.313349819200359,"D"
"36",5.64069711938371,0.703097511413113,-1.61445045425764,0.225540675913931,"D"
